模型,STEM,社会科学,人文科学,Other,AVG
Gemini-2.0-Pro-Exp-02-05,,,,,
o1-2024-12-17,,,,,
DeepSeek-R1,,,,,
Claude_3.5_Sonnet_20241022,,,,,
Doubao-1.5-pro-32k-250115,,,,,
Step-2-16k-Exp,,,,,
GPT-4o-20241120,,,,,
DeepSeek-V3,,,,,
Qwen2.5-Max,,,,,
GLM-4-Plus,,,,,
Mistral-Large-Instruct-2411,,,,,
o3-mini-2025-01-31,,,,,
Gemini-2.0-Flash-001,,,,,
Llama3.1-405B-Instruct-FP8,,,,,
Yi-Lightning,,,,,
Bailing-Pro-1120,,,,,
Llama3.1-70B-Instruct,,,,,
MiniMax-Text-01,,,,,
Bailing-Lite-1116,,,,,
Qwen2.5-72B-Instruct,85.03,91.33,90.14,88.97,88.15
Hunyuan-Large-250210,,,,,
QwQ-32B,16.14,26.43,26.94,18.25,20.85
GPT-4o-mini-20240718,,,,,
o1-mini-2024-09-12,,,,,
ERNIE-4.0-Turbo-8K-Latest,,,,,
GLM-Zero-Preview,,,,,
Spark-v4.0-Ultra,,,,,
Yi-1.5-34B-Chat,72.01,88.66,85.3,82.66,80.27
Moonshot-v1-32K,,,,,
Qwen2.5-32B-Instruct,80.39,92.21,87.81,88.48,85.71
Edullm_32B_D_v8,85.08,91.7,88.03,89.85,88.66
