模型,洞察,解答,反馈,思维,互动性,情感支持,适应性,通顺,目标,平均分
Gemma-2-27B-it,2.26,3.34,2.80,2.60,2.91,3.03,2.31,4.43,4.49,3.13 
Qwen2.5-7B-Instruct,,,,,,,,,,
Mistral-Small-Instruct-2409,2.25,3.28,2.64,2.22,2.58,2.72,2.17,3.69,3.92,2.83
InternLM2.5-Chat-7B,,,,,,,,,,
InternLM3-8B-Instruct,,,,,,,,,,
GLM-4-9B-Chat,,,,,,,,,,
Llama3.1-8B-Instruct,2.06,2.86,2.50,2.06,2.67,2.75,1.89,3.56,3.33,2.63
360Zhinao2-7B-Chat-4K,,,,,,,,,,
Gemma-2-9B-it,2.36,3.50,3.14,2.67,3.03,2.89,2.44,4.28,4.14,3.16 
Ministral-8B-Instruct-2410,,,,,,,,,,
Yi-1.5-9B-Chat,3.03,3.50,3.36,2.58,3.17,3.50,3.58,4.00,3.78,3.39 
Llama3.2-3B-Instruct,,,,,,,,,,
Qwen2.5-32B-Instruct,,,,,,,,,,
Edullm_32B_D_v,82.06,2.89,2.42,1.61,2.25,2.36,2.22,3.28,3.08,2.46



 

